Rank,Customer ID,First Name,Last Name,Email,Amount Spent,Currency
1,gid://shopify/CustomerSegmentMember/8854956212339,Aneeghieton,Theigh,aneeghieton_theigh@example.com,20000.00,CAD
2,gid://shopify/CustomerSegmentMember/8854638592115,Voartuiy,Joath,voartuiy9685@example.org,20000.00,CAD
3,gid://shopify/CustomerSegmentMember/8854324936819,Frourtouck,Chrum,frourtouck7575@example.org,20000.00,CAD
4,gid://shopify/CustomerSegmentMember/8854288760947,Freenday,Enon,freendayenon7386@example.com,20000.00,CAD
5,gid://shopify/CustomerSegmentMember/8853908127859,Anaut,Aneart,anaut.aneart@example.net,20000.00,CAD
6,gid://shopify/CustomerSegmentMember/8853822636147,Vuisoneit,Woyaum,vuisoneit5902@example.org,20000.00,CAD
7,gid://shopify/CustomerSegmentMember/8853704573043,Niendiert,Treeng,niendiert.treeng@example.net,20000.00,CAD
8,gid://shopify/CustomerSegmentMember/8853170225267,Aloush,Enooy,aloush.enooy4204@example.com,20000.00,CAD
9,gid://shopify/CustomerSegmentMember/8852869218419,Oleing,Saaimaes,oleing_saaimaes@example.com,20000.00,CAD
10,gid://shopify/CustomerSegmentMember/8852212285555,Keiton,Stoal,keiton.stoal@example.net,20000.00,CAD
11,gid://shopify/CustomerSegmentMember/8851647135859,Oluil,Emeirt,oluil_emeirt@example.com,20000.00,CAD
12,gid://shopify/CustomerSegmentMember/8851450888307,Odeat,Aneroat,odeat_aneroat@example.com,20000.00,CAD
13,gid://shopify/CustomerSegmentMember/8851178520691,Thar,Olieson,thar.olieson@example.net,20000.00,CAD
14,gid://shopify/CustomerSegmentMember/8850941968499,Emien,Waertim,emienwaertim7819@example.com,20000.00,CAD
15,gid://shopify/CustomerSegmentMember/8850549244019,Kays,Jauck,kays_jauck@example.com,20000.00,CAD
16,gid://shopify/CustomerSegmentMember/8850308464755,Odouck,Shoar,odouck6063@example.org,20000.00,CAD
17,gid://shopify/CustomerSegmentMember/8850004934771,Odeyth,Pond,odeyth.pond1569@example.com,20000.00,CAD
18,gid://shopify/CustomerSegmentMember/8849765105779,Wol,Thas,wol_thas@example.com,20000.00,CAD
19,gid://shopify/CustomerSegmentMember/8848779116659,Breysh,Thaurtuir,breysh.thaurtuir8870@example.com,20000.00,CAD
20,gid://shopify/CustomerSegmentMember/8848493346931,Odaur,Breandies,odaur8383@example.org,20000.00,CAD
21,gid://shopify/CustomerSegmentMember/8848315940979,Brit,Nound,brit_nound@example.com,20000.00,CAD
22,gid://shopify/CustomerSegmentMember/8848071164019,Aneack,Laiming,aneack.laiming7041@example.com,20000.00,CAD
23,gid://shopify/CustomerSegmentMember/8847887794291,Elieton,Olot,elieton.olot4127@example.com,20000.00,CAD
24,gid://shopify/CustomerSegmentMember/8847655043187,Emoadeer,Peyauson,emoadeer.peyauson@example.net,20000.00,CAD
25,gid://shopify/CustomerSegmentMember/8847022686323,Stem,Raeed,stemraeed6295@example.com,20000.00,CAD
26,gid://shopify/CustomerSegmentMember/8846810120307,Elaeton,Jair,elaetonjair1083@example.com,20000.00,CAD
27,gid://shopify/CustomerSegmentMember/8846752776307,Layd,Isem,layd.isem7398@example.com,20000.00,CAD
28,gid://shopify/CustomerSegmentMember/8846296055923,Isooton,Viy,isooton5518@example.org,20000.00,CAD
29,gid://shopify/CustomerSegmentMember/8846236778611,Vushairt,Alear,vushairt4857@example.org,20000.00,CAD
30,gid://shopify/CustomerSegmentMember/8846171603059,Chrayy,Joos,chrayy.joos@example.net,20000.00,CAD
31,gid://shopify/CustomerSegmentMember/8845789823091,Veydoond,Eneym,veydoond_eneym@example.com,20000.00,CAD
32,gid://shopify/CustomerSegmentMember/8845774454899,Wiet,Reis,wiet.reis8164@example.com,20000.00,CAD
33,gid://shopify/CustomerSegmentMember/8845637910643,Emeim,Wayrted,emeimwayrted2752@example.com,20000.00,CAD
34,gid://shopify/CustomerSegmentMember/8845636698227,Saeewell,Trar,saeewell3780@example.org,20000.00,CAD
35,gid://shopify/CustomerSegmentMember/8845362298995,Kaethit,Fraes,kaethitfraes5117@example.com,20000.00,CAD
36,gid://shopify/CustomerSegmentMember/8844895191155,Aloul,Kooshayck,aloul_kooshayck@example.com,20000.00,CAD
37,gid://shopify/CustomerSegmentMember/8844886737011,Iseay,Enaison,iseay.enaison@example.net,20000.00,CAD
38,gid://shopify/CustomerSegmentMember/8843674845299,Breem,Weiseeton,breemweiseeton7496@example.com,20000.00,CAD
39,gid://shopify/CustomerSegmentMember/8843661836403,Stuirt,King,stuirt_king@example.com,20000.00,CAD
40,gid://shopify/CustomerSegmentMember/8843494097011,Voash,Bregh,voash.bregh8809@example.com,20000.00,CAD
41,gid://shopify/CustomerSegmentMember/8843239719027,Thair,Theesheas,thair_theesheas@example.com,20000.00,CAD
42,gid://shopify/CustomerSegmentMember/8843151769715,Veyy,Lick,veyy572@example.org,20000.00,CAD
43,gid://shopify/CustomerSegmentMember/8842612113523,Thal,Rauis,thal5869@example.org,20000.00,CAD
44,gid://shopify/CustomerSegmentMember/8841889349747,Wuid,Odul,wuid.odul@example.net,20000.00,CAD
45,gid://shopify/CustomerSegmentMember/8840888582259,Alaigh,Vod,alaighvod3272@example.com,20000.00,CAD
46,gid://shopify/CustomerSegmentMember/8840760000627,Saon,Odoar,saon.odoar@example.net,20000.00,CAD
47,gid://shopify/CustomerSegmentMember/8840112177267,Alaym,Saeison,alaym_saeison@example.com,20000.00,CAD
48,gid://shopify/CustomerSegmentMember/8841966977139,Frouth,Frain,frouth_frain@example.com,19895.00,CAD
49,gid://shopify/CustomerSegmentMember/8846303658099,Alayn,Paurt,alaynpaurt5852@example.com,19856.00,CAD
50,gid://shopify/CustomerSegmentMember/8840150155379,Odeawell,Treighays,odeawell.treighays@example.net,19833.00,CAD
